,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
502,brawlBall,Sneaky Fields,ranked,STU,889,10,TARA,770,10,MORTIS,758,10,SANDY,1073,10,EMZ,954,10,BEA,1029,10,True,20210822T014632.000Z_15000050_5473
503,brawlBall,Sneaky Fields,ranked,JESSIE,828,10,SANDY,820,10,EMZ,906,10,STU,1129,10,BEA,1032,10,BUZZ,1236,10,False,20210822T014817.000Z_15000050_5951
504,brawlBall,Sneaky Fields,ranked,EMZ,944,10,BEA,1018,10,SANDY,1062,10,SANDY,914,10,EMZ,945,10,BEA,914,10,True,20210822T014918.000Z_15000050_5797
505,brawlBall,Sneaky Fields,ranked,BYRON,857,10,EL PRIMO,830,10,TARA,800,10,EMZ,950,10,SANDY,1067,10,BEA,1023,10,False,20210822T015154.000Z_15000050_5527
506,siege,Bot Drop,ranked,PENNY,760,10,PENNY,752,10,LOU,710,10,CROW,953,10,BELLE,1095,10,PAM,1080,10,False,20210822T015155.000Z_15000097_5350
507,brawlBall,Sneaky Fields,ranked,SANDY,1072,10,EMZ,956,10,BEA,1028,10,EL PRIMO,817,10,MORTIS,831,10,DYNAMIKE,894,10,True,20210822T015741.000Z_15000050_5598
508,siege,Bot Drop,ranked,GALE,721,10,DYNAMIKE,662,10,PENNY,711,10,CROW,959,10,BELLE,1100,10,PAM,1085,10,False,20210822T015832.000Z_15000097_5238
509,heist,Kaboom Canyon,ranked,BROCK,787,10,BELLE,760,10,BROCK,599,10,CROW,965,10,COLETTE,1020,10,BYRON,1010,10,False,20210822T020605.000Z_15000018_5141
510,heist,Kaboom Canyon,ranked,CROW,971,10,COLETTE,1025,10,BYRON,1015,10,CROW,901,10,POCO,885,10,COLETTE,599,10,True,20210822T020828.000Z_15000018_5396
511,heist,Kaboom Canyon,ranked,NANI,811,10,PIPER,947,10,COLETTE,925,10,CROW,977,10,COLETTE,1030,10,BYRON,1020,10,False,20210822T021309.000Z_15000018_5710
512,heist,Kaboom Canyon,ranked,COLETTE,827,10,BYRON,808,10,COLONEL RUFFS,821,10,CROW,983,10,COLETTE,1035,10,BYRON,1025,10,False,20210822T021653.000Z_15000018_5499
513,heist,Kaboom Canyon,ranked,BYRON,1007,10,COLETTE,1042,10,AMBER,1007,10,AMBER,823,10,MAX,783,10,AMBER,749,10,False,20210822T021717.000Z_15000018_5411
514,heist,Kaboom Canyon,ranked,CROW,831,10,COLETTE,835,10,BELLE,838,10,CROW,989,10,COLETTE,1040,10,BYRON,1030,10,False,20210822T022059.000Z_15000018_5563
515,heist,Kaboom Canyon,ranked,8-BIT,589,10,SPIKE,718,10,COLETTE,811,10,BYRON,996,10,AMBER,996,10,COLETTE,1031,10,True,20210822T022115.000Z_15000018_5141
516,heist,Kaboom Canyon,ranked,CROW,995,10,COLETTE,1045,10,BYRON,1035,10,BELLE,451,10,SQUEAK,762,9,MR. P,742,10,True,20210822T022652.000Z_15000018_5030
